text,max_lon,max_lat,min_lon,min_lat
850u,122.49003984063745,22.64541832669323,122.68924302788844,24.04382470119522
800u,122.49003984063745,22.800796812749002,122.49003984063745,24.04382470119522
700u,122.49003984063745,22.800796812749002,122.88844621513944,24.199203187250998
600u,122.49003984063745,22.800796812749002,122.88844621513944,24.35458167330677
500u,122.49003984063745,22.800796812749002,122.68924302788844,24.35458167330677
400u,122.68924302788844,22.64541832669323,122.49003984063745,24.35458167330677
300u,123.28685258964143,22.800796812749002,122.09163346613545,24.35458167330677
250u,123.28685258964143,22.800796812749002,122.09163346613545,24.35458167330677
850v,123.28685258964143,23.577689243027887,121.89243027888446,23.577689243027887
800v,123.28685258964143,23.733067729083665,121.89243027888446,23.422310756972113
700v,123.68525896414343,23.422310756972113,121.69322709163346,23.577689243027887
600v,123.68525896414343,23.422310756972113,121.49402390438247,23.422310756972113
500v,123.68525896414343,23.888446215139442,121.49402390438247,23.577689243027887
400v,123.68525896414343,23.888446215139442,121.49402390438247,23.577689243027887
300v,124.28286852589642,23.733067729083665,121.29482071713147,23.577689243027887
250v,124.08366533864542,23.733067729083665,121.29482071713147,23.577689243027887
850t,123.28685258964143,23.888446215139442,121.29482071713147,22.64541832669323
800t,123.08764940239044,23.888446215139442,121.29482071713147,22.64541832669323
700t,123.08764940239044,23.888446215139442,121.09561752988049,22.49003984063745
600t,123.08764940239044,24.04382470119522,121.49402390438247,24.50996015936255
500t,121.69322709163346,23.733067729083665,121.69322709163346,24.199203187250998
400t,123.48605577689243,23.733067729083665,121.69322709163346,24.199203187250998
300t,119.9003984063745,24.04382470119522,121.89243027888446,24.50996015936255
250t,121.49402390438247,24.199203187250998,121.89243027888446,24.50996015936255
850w,121.49402390438247,22.64541832669323,118.90438247011951,27.772908366533866
800w,121.49402390438247,22.800796812749002,120.89641434262948,21.09163346613546
700w,121.29482071713147,22.49003984063745,121.89243027888446,24.820717131474105
600w,122.29083665338645,23.266932270916335,122.49003984063745,25.286852589641434
500w,122.68924302788844,23.577689243027887,127.66932270916334,18.605577689243027
400w,122.68924302788844,23.577689243027887,117.90836653386454,17.98406374501992
300w,122.49003984063745,23.111553784860558,117.90836653386454,20.159362549800797
250w,122.09163346613545,23.111553784860558,127.86852589641434,26.529880478087648
